spain main            {'weight': 51}
spain religion        {'weight': 49}
spain article         {'weight': 37}
spain no              {'weight': 28}
spain spanish         {'weight': 26}
spain catholicism     {'weight': 24}
spain country         {'weight': 21}
spain world           {'weight': 21}
spain autonomous      {'weight': 21}
spain languages       {'weight': 18}
spain coofficial      {'weight': 17}
spain islands         {'weight': 17}
spain faith           {'weight': 16}
spain 2               {'weight': 15}
spain communities     {'weight': 14}
spain official        {'weight': 14}
spain heritage        {'weight': 13}
spain jews            {'weight': 13}
spain population      {'weight': 12}
spain numbers         {'weight': 12}
spain unofficial      {'weight': 12}
spain following       {'weight': 11}
spain constitution    {'weight': 11}
spain officially      {'weight': 11}
spain basque          {'weight': 10}
spain see             {'weight': 10}
spain mediterranean   {'weight': 10}
spain public          {'weight': 10}
spain france          {'weight': 10}
spain after           {'weight': 10}
spain been            {'weight': 10}
spain roman           {'weight': 10}
spain largest         {'weight': 10}
spain million         {'weight': 9}
spain status          {'weight': 9}
spain history         {'weight': 9}
spain law             {'weight': 9}
spain 26              {'weight': 9}
spain la              {'weight': 9}
spain state           {'weight': 9}
spain italy           {'weight': 9}
spain recognized      {'weight': 9}
spain schools         {'weight': 8}
spain 159             {'weight': 8}
spain sites           {'weight': 8}
spain information     {'weight': 8}
spain ethics          {'weight': 8}
spain hinduism        {'weight': 8}
spain further         {'weight': 8}
spain although        {'weight': 8}
spain united          {'weight': 8}
spain answer          {'weight': 8}
spain islam           {'weight': 8}
spain choose          {'weight': 8}
spain energy          {'weight': 8}
spain taught          {'weight': 8}
spain long            {'weight': 8}
spain religions       {'weight': 8}
spain gibraltar       {'weight': 8}
spain 3               {'weight': 8}
spain class           {'weight': 8}
spain 69              {'weight': 8}
spain countries       {'weight': 8}
spain bah             {'weight': 8}
spain source160       {'weight': 8}
spain government      {'weight': 8}
spain either          {'weight': 8}
spain students        {'weight': 8}
spain longer          {'weight': 8}
spain people          {'weight': 7}
spain states          {'weight': 7}
spain should          {'weight': 7}
spain list            {'weight': 7}
spain international   {'weight': 7}
spain total           {'weight': 7}
spain third           {'weight': 7}
spain over            {'weight': 7}
spain spains          {'weight': 7}
spain cities          {'weight': 7}
spain provinces       {'weight': 7}
spain human           {'weight': 7}
